t,s1,s5
21.566451,1.873428632,0.297825299
21.599784,1.87396952,0.298027966
21.633117,1.874457811,0.298220379
21.66645,1.874659545,0.29834648
21.699783,1.874765539,0.298355535
21.733116,1.875244775,0.298521849
21.766449,1.875752906,0.299009474
21.799782,1.876371824,0.29941241
21.833115,1.876869037,0.299912818
21.866448,1.877126431,0.300024005
21.899781,1.877316581,0.300322279
21.933114,1.877619249,0.300671287
21.966447,1.877782501,0.300932276
21.99978,1.878024582,0.301403922
22.033113,1.87825428,0.301986489
22.066446,1.878417132,0.302541092
22.099779,1.878724727,0.303192767
22.133112,1.878811147,0.303511415
22.166445,1.878744967,0.303855895
22.199778,1.878698096,0.304209296
22.233111,1.878438704,0.304157897
22.266444,1.878208207,0.304584136
22.299777,1.877977178,0.304621287
22.33311,1.877629502,0.304706375
22.366443,1.877597944,0.304855379
22.399776,1.877455598,0.305102653
22.433109,1.87736545,0.30536138
22.466442,1.877551205,0.305848072
22.499775,1.877435358,0.305851268
22.533108,1.877095272,0.305743943
22.566441,1.876863577,0.30569787
22.599774,1.87679327,0.305576962
22.633107,1.876927493,0.305899738
22.66644,1.876889277,0.305880563
22.699773,1.876583413,0.305640346
22.733106,1.876519097,0.305580558
22.766439,1.876332942,0.305551263
22.799772,1.875898048,0.305180285
22.833105,1.875769817,0.304981213
22.866438,1.875577803,0.304750051
22.899771,1.875384857,0.304513163
22.933104,1.87505569,0.304073209
22.966437,1.874861146,0.303621936
22.99977,1.874492964,0.303270265
23.033103,1.873753671,0.302460664
23.066436,1.873244341,0.301959857
23.099769,1.872866971,0.301404322
23.133102,1.872341663,0.300790862
23.166435,1.872087331,0.30017727
23.199768,1.87141182,0.299411745
23.233101,1.871279195,0.299149956
23.266434,1.871307158,0.299343834
23.299767,1.871189712,0.298883107
23.3331,1.870849494,0.298536763
23.366433,1.870553483,0.298216518
23.399766,1.870516199,0.297935288
23.433099,1.870355744,0.297640343
23.466432,1.869971849,0.297167499
23.499765,1.869883565,0.297090666
23.533098,1.870052276,0.297198391
23.566431,1.870161732,0.297070826
23.599764,1.869934032,0.296761367
23.633097,1.869996616,0.296640725
23.66643,1.869974912,0.296484531
23.699763,1.869954405,0.296453638
23.733096,1.869872646,0.29638919
23.766429,1.869884364,0.296450176
23.799762,1.869798477,0.296230865
23.833095,1.870016989,0.296354835
23.866428,1.870232439,0.296734602
23.899761,1.870263066,0.296861368
23.933094,1.870297524,0.29678717
23.966427,1.870150088,0.296783012
23.99976,1.870018099,0.296899762
24.033093,1.870023795,0.296895605
24.066426,1.870016176,0.297002767
24.099759,1.870039449,0.29694508
24.133092,1.869968712,0.297175281
24.166425,1.869975207,0.297157275
24.199758,1.870024846,0.297431152
24.233091,1.869892487,0.297410379
24.266424,1.86977584,0.297616508
24.299757,1.869806067,0.297820373
24.33309,1.870009399,0.298127036
24.366423,1.870096085,0.298411062
24.399756,1.870101811,0.298359796
24.433089,1.870058402,0.298508134
24.466422,1.87015614,0.298522781
24.499755,1.870072783,0.29853157
24.533088,1.870174116,0.298613462
24.566421,1.870387968,0.29871626
24.599754,1.870359206,0.298608935
24.633087,1.870375318,0.298626112
24.66642,1.870456012,0.298485231
24.699753,1.870522724,0.298594021
24.733086,1.870712607,0.298719189
24.766419,1.870976926,0.298808805
24.799752,1.871076129,0.299019594
24.833085,1.8713005,0.298942762
24.866418,1.871501968,0.299139037
24.899751,1.871718217,0.299263406
24.933084,1.871854304,0.299411079
24.966417,1.872016358,0.299334113
24.99975,1.872205309,0.299219864
25.033083,1.872302647,0.299265803
25.066416,1.872449121,0.299454222
25.099749,1.872672161,0.299388042
25.133082,1.872756051,0.2995722
25.166415,1.872650723,0.29934197
25.199748,1.872672561,0.299382583
25.233081,1.87275179,0.299429188
