t,med_1424,med_1408,med_1422,med_1378
254.1,59.76200104,59.75930023,59.76470184,59.74710083
254.2,59.75170135,59.75680161,59.7655983,59.74959946
254.3,59.75979996,59.75889969,59.76689911,59.75320053
254.4,59.75569916,59.7582016,59.76720047,59.75569916
254.5,59.74860001,59.75709915,59.76599884,59.75939941
254.6,59.76010132,59.75630188,59.76390076,59.76290131
254.7,59.75159836,59.75719833,59.76129913,59.76509857
254.8,59.76039886,59.75619888,59.7594986,59.76620102
254.9,59.74620056,59.75600052,59.75830078,59.7663002
255,59.76269913,59.75270081,59.75730133,59.76259995
255.1,59.75719833,59.75579834,59.75870132,59.75960159
255.2,59.7541008,59.7560997,59.76100159,59.75579834
255.3,59.75109863,59.75730133,59.76390076,59.75180054
255.4,59.76079941,59.75550079,59.76670074,59.74860001
255.5,59.76319885,59.75830078,59.76810074,59.74940109
255.6,59.76039886,59.75989914,59.76900101,59.7478981
255.7,59.76459885,59.75849915,59.76739883,59.74840164
255.8,59.76549911,59.76309967,59.76539993,59.75030136
255.9,59.75799942,59.75970078,59.76279831,59.75329971
256,59.7655983,59.7641983,59.76160049,59.7580986
256.1,59.7541008,59.76169968,59.75920105,59.76070023
256.2,59.7594986,59.76050186,59.75510025,59.76850128
256.3,59.75579834,59.76010132,59.75270081,59.77209854
256.4,59.75770187,59.75619888,59.75099945,59.77550125
256.5,59.75709915,59.75910187,59.74829865,59.7757988
256.6,59.75500107,59.7602005,59.7480011,59.77370071
256.7,59.76039886,59.7602005,59.74760056,59.77090073
256.8,59.75939941,59.76309967,59.75019836,59.76750183
256.9,59.75540161,59.75600052,59.75279999,59.76200104
257,59.76079941,59.76259995,59.75690079,59.75630188
257.1,59.77629852,59.76150131,59.76029968,59.75379944
257.2,59.75830078,59.76229858,59.7641983,59.7507019
257.3,59.75490189,59.75830078,59.76490021,59.75019836
257.4,59.77199936,59.76530075,59.76679993,59.75120163
257.5,59.75630188,59.76330185,59.76890182,59.75120163
257.6,59.75920105,59.75749969,59.76800156,59.75469971
257.7,59.75790024,59.76110077,59.76869965,59.75839996
257.8,59.75899887,59.75780106,59.76699829,59.76100159
257.9,59.75889969,59.75889969,59.76390076,59.76520157
258,59.75139999,59.75529861,59.76119995,59.76639938
258.1,59.75130081,59.75429916,59.75780106,59.76589966
258.2,59.7541008,59.75719833,59.75730133,59.7655983
258.3,59.75650024,59.75550079,59.75569916,59.76290131
258.4,59.75299835,59.75299835,59.75650024,59.75920105
258.5,59.75719833,59.7580986,59.75799942,59.75619888
258.6,59.7594986,59.75540161,59.76179886,59.75270081
258.7,59.7643013,59.75790024,59.76390076,59.74879837
258.8,59.76300049,59.75569916,59.76509857,59.74670029
258.9,59.76070023,59.75899887,59.76599884,59.74649811
259,59.75749969,59.75770187,59.7655983,59.74539948
259.1,59.76269913,59.76079941,59.76340103,59.74860001
259.2,59.75970078,59.7582016,59.76169968,59.75419998
259.3,59.75999832,59.7580986,59.75960159,59.75619888
259.4,59.75719833,59.76089859,59.75690079,59.76129913
259.5,59.75690079,59.75170135,59.75400162,59.76409912
259.6,59.74520111,59.75659943,59.75189972,59.76689911
259.7,59.75299835,59.75170135,59.74900055,59.76649857
259.8,59.74639893,59.75180054,59.7458992,59.76589966
259.9,59.75159836,59.75040054,59.74480057,59.76229858
260,59.74769974,59.75059891,59.74359894,59.75889969
